body,fake,source
"Every decision of government needn’t be a big reform: Anand Mahindra""The fact that we are the world’s largest democracy and we are all aware that power and a role in global affairs for a nation comes from economic strength.""",0,Economic Times
,,
"Narendra Modi has his eyes set on boosting business: Joao Cravinho, EU AmbassadorAmbassador Joao Cravinho, head of the EU delegation, led Ambassadors of various European countries to a quiet lunch with Modi at the capital last year.",0,Economic Times
,,
"Confidence level of industry improving: KV Kamath, ICICI Bank""It is the collective wisdom of the marketplace that there is action and we will move with speed. That improves the confidence level of industry.""",0,Economic Times
,,
"We may see rapid growth over the next few years: Raamdeo AgrawalDirectives from the Centre have to be executed at the state level. So, there are many things that are not in Modi’s hands, says Raamdeo Agrawal.",0,Economic Times
,,
"Our commitment for press freedom, and autonomy of public broadcast is absolute: Prakash Javadekar""Now there is a stage three and stage four of digitisation, we will take a call on this only after taking all things into account.""",0,Economic Times
,,
"There is a leadership vacuum in Infosys, time to get Nandan Nilekani back: Mohandas Pai""There is a leadership vacuum in the company, because they made the wrong choice of CEO three years ago and that is playing out right now.""",0,Economic Times
,,
"Sensex, Nifty hit lifetime highs: Top factors that fuelled the rallyWeak auto sales numbers and GDP data failed to stop Sensex from rallying over 450 points.",0,Economic Times
,,
"Contra bets: 4 themes that may deliver high returns despite risksIf things go in favour of these sectors in the foreseeable future, they can offer high returns.
",0,Economic Times
,,
"Lupin, Havells among 11 stocks that can give solid returns in 2-3 weeksAnalysts said one must execute trades with caution in this market.",0,Economic Times
,,
"Maruti, TaMo May sales plunge, but stocks hold the ground, why?Tata Motors’ domestic PV volumes declined 38%, domestic volumes of Honda fell 28% in May.",0,Economic Times
,,
"Sell in May, play in June! Hot summer is about cool returnsIn last 20 years, the BSE Sensex has ended June with gains on 14 occasions.",0,Economic Times
,,
Modi win makes rupee double-edged sword for central bankThe rupee is emerging as Asia’s top performer in the past three months.,0,Economic Times
,,
"Alfa raises delisting price to Rs 2,850 a shareAlfa Laval (India) today said its parent firm has raised the delisting offer price to Rs 2,850 a share.
",0,Economic Times
,,
"DB Realty, Unitech stocks roseThe stocks of DB Realty and Unitech rose after top executives of these companies were granted bail in the 2G scam case. ",0,Economic Times
,,
Fitch withdraws Reliance Capital ratingsFitch on Friday said it has withdrawn the ratings on Reliance Capital as the company has decided to stop participating.,0,Economic Times
,,
"'Discoms' poor fin health poses risks for traders'The poor financial health of state electricity boards could pose significant business risks for power traders in the country, says Fitch.
",0,Economic Times
,,
"Cigarette cos shares outperform benchmark SensexShares of cigarette companies have rallied over the past one month, with ITC, Godfrey Philips and VST Industries hitting record highs. ",0,Economic Times
,,
"Lovable Lingerie's dream run on as traders lap it upLovable Lingerie is 3rd-best performing stock among companies listed this year, with it doubling in value, as traders bet it could repeat performance of Page Indus.",0,Economic Times
,,
India's $190 bn war on bad loans hits an unforeseen roadblockIndia's $190 bn war on bad loans hits an unforeseen roadblockTime-bound resolutions under bankruptcy law are the key to cleaning up $190 billion stressed loans quickly.,0,Economic Times
,,
"For steelmakers, a great water hunt has begunFor steelmakers, a great water hunt has begunTwo of India’s biggest steelmakers, JSW Steel & Tata Steel, have flagged risks due to water shortages.",0,Economic Times
,,
"New mantra to take TCS to the next levelNew mantra to take TCS to the next levelThe tech firm is leaning heavily on the three Ps- patents, products & platforms to fuel growth.",0,Economic Times
,,
"Public or private? The curious case of IDBIPublic or private? The curious case of IDBIRBI reclassified IDBI as a private sector lender in January, after LIC acquired a 51% stake in the bank. ",0,Economic Times
,,
"Does India have what it takes for $5 tn sprint?Does India have what it takes for $5 tn sprint?India is projected to be the world’s most populous country by 2025, with at least 1.45 billion people. ",0,Economic Times
,,
LS burns midnight oil for discussion on RailwaysLS burns midnight oil for discussion on RailwaysParliamentary Affairs Minister Pralhad Joshi on Friday said the discussion went on till midnight because every member wanted to take part.,0,Economic Times
,,
"Budget will boost investment: SitharamanBudget will boost investment: SitharamanFinance Minister Nirmala Sitharaman defends target of putting India in the USD 5 trillion club; says it is not ""without a plan"".",0,Economic Times
,,
Government to use AI in safe way in public healthGovernment to use AI in safe way in public healthThe minister said the NITI Aayog is currently in the process of developing institutional mechanism to realise India's AI aspirations.,0,Economic Times
,,
Budget lacks programmes to revive economy: CongBudget lacks programmes to revive economy: CongThe opposition criticized the budget for staying silent on issues such as the economic slowdown and joblessness while also saying it lacks bold measures to lift the economy. ,0,Economic Times
,,
K'taka LIVE: Kumaraswamy says ready for trust voteK'taka LIVE: Kumaraswamy says ready for trust voteThis comes at a time the SC has directed the Speaker to maintain status quo on rebel MLAs till Tuesday,0,Economic Times
,,
How to use Cap Curve to build a solid portfolio of equity funds?The one aspect that can be used by a vast cross-section of investors is age.,0,Economic Times
,,
Question of trust: Govt seeks info on FPI origins from SebiMost of the FPIs using trust structure are from the US and Luxembourg.,0,Economic Times
,,
"4 sectors that offer good risk reward now: Manish Gunwani
In auto, the most cyclical segment is CV and is probably worth a bigger bet than other segments.",0,Economic Times
,,
"Telecom shares advance; GTPL Hathway surges 20%Benchmark NSE Nifty50 index was up 7.40 points at 11,590.30.",0,Economic Times
,,
"Infy & IndusInd: What to expect today

Banks, especially SBI is Pankaj Pandey’s best bet for rest of the year.",0,Economic Times
,,
"This is the right time to enter IndusInd: Purohit
All stressed accounts combined is something around 1.9% of the total book.",0,Economic Times
,,
"Hopeful India, US will find 'mutually satisfactory' solution to bilateral differences: Indian envoyThe USISPF itself gives the idea that this is a relationship that has to be seen as in strategic terms, not tactical terms.",0,Economic Times
,,
"View: A $5 trillion economy is a stretch; do we have the running legs?India is projected to be the world’s most populous country by 2025, with at least 1.45 billion people. ",0,Economic Times
,,
"Monsoon speeds up, gives boost to kharif sowingWith a boost to sowing of kharif crops, all regions of the country, except the south, have received surplus rainfall in this 11-day period.",0,Economic Times
,,
"DPIIT, WIPO to release Global Innovation Index on July 24The index provides detailed metrics about the innovation performance of 129 countries and economies around the world. ",0,Economic Times
,,
"Economy is weak, needs bold, structural reforms: P ChidambaramThe former finance minister said the country's economy is weak and requires bold steps to take it forward on fast growth track, which PM Narendra Modi should take.",0,Economic Times
,,
"American trade officials on relationship building visit: USTR“Since India’s election period has now passed, USTR officials are visiting India for relationship-building,” a USTR spokesperson said.",0,Economic Times
,,
"'Miss us?' Twitter hit with hour-long outageThe hashtag ""TwitterDown"" was trending as users recalled their experiences. Some were too young to remember a time when such an outage was a common occurrence.",0,Economic Times
,,
"3Ps to power new business model of TCSThe tech firm is leaning heavily on the three Ps- patents, products & platforms to fuel growth.",0,Economic Times
,,
"Apple's India-made top-end iPhones to hit stores next monthIndia-made iPhone XR and XS devices are expected to hit the market by August, the source said.",0,Economic Times
,,
Decision on Huawei's participation in 5G trials based on security and economic interests: MEAMEA spokesperson Raveesh Kumar said there are several companies that have shown interest in the trial for 5G services.,0,Economic Times
,,
"India is a vital cog in AWS’ growth story: Navdeep Manaktala, Head Business Development, Amazon Internet ServicesNavdeep Manaktala sees a huge potential for growth in compute, storage, database and other cloudrelated service offerings among the startups, enterprises, ISVs and government agencies in India.",0,Economic Times
,,
"With 40,000, TCS is one of US’s biggest job creatorsTCS made a net addition of 12,356 employees in the June quarter, taking total headcount to 4.36 lakh people. ",0,Economic Times
,,
"China was already in trouble. Trump just made it worseAs Beijing considers how to cushion the blow from trade, it'll also have to weigh the country's other major challenge: debt. ",0,Economic Times
,,
Need to maintain strong military ties with Pakistan: US GeneralThe statement comes ahead of Pakistan Prime Minister Imran Khan's meeting with US President Donald Trump at the White House later this month.,0,Economic Times
,,
The world's 2-billion-ton trash problem just got more alarmingThe dumping of rich countries’ unwanted waste has fuelled a media storm the world over.,0,Economic Times
,,
China poses most serious threat to US: Top generalThe Georgia Senator expressed his concern over Chinese investments in ports around Africa and the Indian Ocean but also in South America where there are over 50 port investments that they have made with proprietary loans.,0,Economic Times
,,
"Carlos Slim's bank to acquire stake in Brazil unit of Global PaymentsInbursa, which is controlled by the family of billionaire Carlos Slim, intends to have a card processor business in Brazil through Banco Inbursa SA.",0,Economic Times
,,
"France passes tax on tech giants despite US threatsBecomes the first country in the EU to impose such a levy, with other nations, including UK and Germany, mulling similar taxes.",0,Economic Times
,,
"SC orders status quo on Karnataka rebel MLAs, to hear matter again on TuesdayThe apex court said it would examine all constitutional issues in the case on Tuesday after getting more facts.
",0,Economic Times
,,
Karnataka LIVE:  SC orders status quo on 10 rebel MLAs till TuesdayThis comes at a time the SC has directed the Speaker to maintain status quo on rebel MLAs till Tuesday,0,Economic Times
,,
"How can BJP be blamed for Congress crisis, asks JavadekarWhen asked about defections in Goa, Javadekar said: “Did Congress even know this was happening? Their own MLAs were leaving and they were unaware.”",0,Economic Times
,,
"Over 1,000 new fast track courts to be set up for speedy justiceEFC of the Finance Ministry, which is examining the Ministry's proposal, is yet to give its approval.",0,Economic Times
,,
UP BJP MLA’s daughter’s video creates stirSakshi Mishra's video alleges that her father and his aides were threatening the couple and could eliminate them after they got married on July 4 in Prayagraj.,0,Economic Times
,,
Budget lacks programmes to revive economy: CongressThe opposition criticized the budget for staying silent on issues such as the economic slowdown and joblessness while also saying it lacks bold measures to lift the economy. ,0,Economic Times
,,
"Traders bet on calendar spread as Nifty moves in a tight rangeA trading combination involving Nifty options is gaining prominence among savvy trading desks of institutional investors.

",0,Economic Times
,,
"Nifty may find support at 5300 levelAs far as stock futures are concerned, we are very near to the highest-ever open interest with 195 crore shares in open interest. ",0,Economic Times
,,
"Seven out of top 10 Asian small-cap funds are IndianAn analysis of 300 Asian small-cap schemes shows DSP BlackRock Micro Cap Fund leading the charge, delivering an 82% return over the past year.",0,Economic Times
,,
"Inflation reflects growth dynamics in India: Christopher WoodIndia has inflation and it reflects the fundamental growth, Christopher Wood, equity strategist, CLSA, said at ET Now Mkt Summit-2010.

",0,Economic Times
,,
"Market may trade in a range, but FIIs seen sold on IndiaMarket may see range-bound trading this week in the absence of any major trigger.",0,Economic Times
,,
"'Don't bank only on price-to-earning ratio'Many experts believe that looking at PE ratio in isolation won’t help investors grasp realities of the mkt and higher valuation may not be the only deciding factor driving mkt. 
",0,Economic Times
,,
Prabhudas Lilladher has a reduce rating on InfosysPrabhudas Lilladher has a ‘reduce’ rating on Infosys Technologies as it feels that the outlook for the company and the software industry is quite weak in the near-term.,0,Economic Times
,,
Fin Crisis: Too late and too little done in USA crisis of $240 trillion cannot be stemmed with bailout packages of $1 to $10 trillion. 2008: Year of global financial crisis | Survive credit crisis | Ghosts of 1929,0,Economic Times
,,
"Weak rupee takes its toll on cos with huge foreign debtThe falling rupee will severely affect the small companies, whereas the big ones will be impacted moderately. Get rid of Debt | Adopt correct investment strategies",0,Economic Times
,,
"Wait for more signals before turning positiveAt the recent low of 12514 points, the Sensex has tested the 12800-12000-pts support zone and has since then attempted a corrective rally.",0,Economic Times
,,
"Six Indian cos among BusinessWeek's top 100 Infotech firmsBusinessWeek's 'The Infotech 100', has ranked Bharti Airtel at the 21st position followed by Reddington India (55th) and RCom (66th). Successful business formula",0,Economic Times
,,
Indian firms slip in global ranking; four move out of Top-50014 firms present in a new list of world's 500 most valued firms together seeing an erosion of about $150 billion in their market value in the first three months of this year.,0,Economic Times
,,
"'Big Daddy' laps up Cipla after Q1 nos beat forecastShares of Cipla inched up on heavy volumes on Friday, after the company’s first quarter earnings beat the consensus estimate.",0,Economic Times
,,
"Old Fox has dream run on Dalal StreetThe Old Fox of Dalal Street has been on a dream run since the past couple of weeks. On Friday, most stocks that he had been steadily building up positions in figured among key gainers of the day.",0,Economic Times
,,
"Cairn India hits record high on BSE amid stake sale talksThe scrip, which was flat for most of the session, shot up in the final hour of trade on the Bombay Stock Exchange to settle with a net gain of 4.36 per cent at Rs 355.45.",0,Economic Times
,,
"Vedanta plunges 5.59% on LSE amid talks to buy Cairn stakeIn the late afternoon session, the scrip was being traded at 20.61 pounds, down by 5.50 per cent on the LSE. Vedanta opened on a positive note, but soon swung into the red.",0,Economic Times
,,
"SBI shares on gaining spree; hit record highIn the past two days, the scrip recorded a gain of over 9 per cent on the BSE, making its investors richer by a whopping Rs 15,000 crore.
",0,Economic Times
,,
FM must rethinkTT Ram Mohan has rightly suggested that the tax-GDP ratio measures structural improvement. The FM must rethink his medium-term debtto-GDP target. ,0,Economic Times
,,
Amalgamate banksFinancial inclusion and financial literacy will be the paramount objective while implementing reforms along with UID project to protect the interests of poor. ,0,Economic Times
,,
"Managing dataThis refers to your edit ‘A welcome quest’ (ET, Oct 8). It is imperative to have a strong database.",0,Economic Times
,,
"Right technologyApropos of ‘The climate conundrum’ (ET, Oct 9), Mukul Sanwal rightly suggests that developing countries should lead in setting the agenda for global technological cooperation.",0,Economic Times
,,
ET SearchRupee#CAD#Economic crisis#Food Bill,0,Economic Times
,,
"After the Oscars, what's next for silent stars of The Artist?The team behind The Artist will have spent the first day of the rest of their lives conforming to the grandest, and most lucrative, of Hollywood traditions. ",0,Economic Times
,,
"Delhi World Book fair: A fair like no otherIt's the World Book fair, which comes around once every two years sprawling across the giant halls of Pragati Maidan.  This is the fair's 20th edition.",0,Economic Times
,,
"Indian gift makes its way to State Department exhibitionAn elephant figurine gifted by the then HM LK Advani to US Secretary of State Colin Powell in 2002, has made its way to the State Department hall.",0,Economic Times
,,
"IMD to use dynamic models for forecastsStatistical models used by IMD will still be used for monsoon forecast, but the ministry of earth sciences is putting more emphasis on dynamic models.",0,Economic Times
,,
"Docs reveal contents of first wire msg between India & EngNewly discovered documents have revealed the first telegraph messages and joy when England was linked for the first time with India on 23 June, 1870. ",0,Economic Times
,,
Worried Amitabh Bachchan fans pray to Lord Shiva for his recoveryHundreds of worried fans of ailing Bollywood megastar Amitabh Bachchan today performed a yagna here to pray for his speedy recovery.,0,Economic Times
,,
"Every decision of government needn’t be a big reform: Anand Mahindra""The fact that we are the world’s largest democracy and we are all aware that power and a role in global affairs for a nation comes from economic strength.""",0,Economic Times
,,
"Narendra Modi has his eyes set on boosting business: Joao Cravinho, EU AmbassadorAmbassador Joao Cravinho, head of the EU delegation, led Ambassadors of various European countries to a quiet lunch with Modi at the capital last year.",0,Economic Times
,,
"Confidence level of industry improving: KV Kamath, ICICI Bank""It is the collective wisdom of the marketplace that there is action and we will move with speed. That improves the confidence level of industry.""",0,Economic Times
,,
"We may see rapid growth over the next few years: Raamdeo AgrawalDirectives from the Centre have to be executed at the state level. So, there are many things that are not in Modi’s hands, says Raamdeo Agrawal.",0,Economic Times
,,
"Our commitment for press freedom, and autonomy of public broadcast is absolute: Prakash Javadekar""Now there is a stage three and stage four of digitisation, we will take a call on this only after taking all things into account.""",0,Economic Times
,,
"There is a leadership vacuum in Infosys, time to get Nandan Nilekani back: Mohandas Pai""There is a leadership vacuum in the company, because they made the wrong choice of CEO three years ago and that is playing out right now.""",0,Economic Times
,,
"Sensex, Nifty hit lifetime highs: Top factors that fuelled the rallyWeak auto sales numbers and GDP data failed to stop Sensex from rallying over 450 points.",0,Economic Times
,,
"Contra bets: 4 themes that may deliver high returns despite risksIf things go in favour of these sectors in the foreseeable future, they can offer high returns.
",0,Economic Times
,,
"Lupin, Havells among 11 stocks that can give solid returns in 2-3 weeksAnalysts said one must execute trades with caution in this market.",0,Economic Times
,,
"Maruti, TaMo May sales plunge, but stocks hold the ground, why?Tata Motors’ domestic PV volumes declined 38%, domestic volumes of Honda fell 28% in May.",0,Economic Times
,,
"Sell in May, play in June! Hot summer is about cool returnsIn last 20 years, the BSE Sensex has ended June with gains on 14 occasions.",0,Economic Times
,,
Modi win makes rupee double-edged sword for central bankThe rupee is emerging as Asia’s top performer in the past three months.,0,Economic Times
,,
"Alfa raises delisting price to Rs 2,850 a shareAlfa Laval (India) today said its parent firm has raised the delisting offer price to Rs 2,850 a share.
",0,Economic Times
,,
"DB Realty, Unitech stocks roseThe stocks of DB Realty and Unitech rose after top executives of these companies were granted bail in the 2G scam case. ",0,Economic Times
,,
Fitch withdraws Reliance Capital ratingsFitch on Friday said it has withdrawn the ratings on Reliance Capital as the company has decided to stop participating.,0,Economic Times
,,
"'Discoms' poor fin health poses risks for traders'The poor financial health of state electricity boards could pose significant business risks for power traders in the country, says Fitch.
",0,Economic Times
,,
"Cigarette cos shares outperform benchmark SensexShares of cigarette companies have rallied over the past one month, with ITC, Godfrey Philips and VST Industries hitting record highs. ",0,Economic Times
,,
"Lovable Lingerie's dream run on as traders lap it upLovable Lingerie is 3rd-best performing stock among companies listed this year, with it doubling in value, as traders bet it could repeat performance of Page Indus.",0,Economic Times
body,fake,source
Credit market's reality is hitting Indian realty really hardCredit market's reality is hitting Indian realty really hardDevelopers are at risk of going belly-up as mounting stress in the nation’s credit market has dried up funding.,0,Economic Times
Why low inflation should worry the govtWhy low inflation should worry the govtAn economy with moderately high inflation “signals growing consumption and spurs investment”. ,0,Economic Times
Thought WhatsApp was safe? Think againThought WhatsApp was safe? Think againResearchers say hackers can manipulate the images and audio files that you receive on these platforms.,0,Economic Times
