body,fake,source
body,fake,source
"Indonesia central bank says indicators show improvement in economy in third quarter<img width=""315"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T062225Z_1_LYNXNPEF6I0DJ_RTROPTP_0_INDONESIA-ECONOMY_1-315x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T062225Z_1_LYNXNPEF6I0DJ_RTROPTP_0_INDONESIA-ECONOMY_1-315x210.jpg 315w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T062225Z_1_LYNXNPEF6I0DJ_RTROPTP_0_INDONESIA-ECONOMY_1-768x512.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T062225Z_1_LYNXNPEF6I0DJ_RTROPTP_0_INDONESIA-ECONOMY_1-655x437.jpg 655w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T062225Z_1_LYNXNPEF6I0DJ_RTROPTP_0_INDONESIA-ECONOMY_1.jpg 799w"" sizes=""(max-width: 315px) 100vw, 315px"" />JAKARTA (Reuters) - Indonesia's economic indicators, including results of business and banking surveys, showed an improvement in activity at the start of the third quarter of this year, Bank Indonesia",1,OANN
"Talks between Venezuela government and opposition continuing, says mediator Norway<img width=""314"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T060505Z_1_LYNXNPEF6I0D6_RTROPTP_0_VENEZUELA-POLITICS_1-314x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T060505Z_1_LYNXNPEF6I0D6_RTROPTP_0_VENEZUELA-POLITICS_1-314x210.jpg 314w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T060505Z_1_LYNXNPEF6I0D6_RTROPTP_0_VENEZUELA-POLITICS_1-768x514.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T060505Z_1_LYNXNPEF6I0D6_RTROPTP_0_VENEZUELA-POLITICS_1-653x437.jpg 653w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T060505Z_1_LYNXNPEF6I0D6_RTROPTP_0_VENEZUELA-POLITICS_1.jpg 799w"" sizes=""(max-width: 314px) 100vw, 314px"" />OSLO (Reuters) - Talks between the government of Venezuelan President Nicolas Maduro and the opposition are continuing in Barbados, the foreign ministry from mediator Norway said late on Thursday in a",1,OANN
"Asia stocks firm as Fed props up rate cut expectations<img width=""303"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T011456Z_1_LYNXNPEF6I042_RTROPTP_0_GLOBAL-MARKETS-JAPAN_1-303x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T011456Z_1_LYNXNPEF6I042_RTROPTP_0_GLOBAL-MARKETS-JAPAN_1-303x210.jpg 303w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T011456Z_1_LYNXNPEF6I042_RTROPTP_0_GLOBAL-MARKETS-JAPAN_1-768x533.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T011456Z_1_LYNXNPEF6I042_RTROPTP_0_GLOBAL-MARKETS-JAPAN_1-630x437.jpg 630w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T011456Z_1_LYNXNPEF6I042_RTROPTP_0_GLOBAL-MARKETS-JAPAN_1.jpg 800w"" sizes=""(max-width: 303px) 100vw, 303px"" />By Shinichi Saoshiro TOKYO (Reuters) - Asian stocks rose on Friday after a top Federal Reserve official cemented expectations of a U.S. interest rate cut later this month, fuelling appetite for",1,OANN
"Animation fans lay flowers, pay respects at Japan studio ravaged by arson<img width=""292"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T042718Z_2_LYNXNPEF6I08V_RTROPTP_0_JAPAN-FIRE_1-292x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T042718Z_2_LYNXNPEF6I08V_RTROPTP_0_JAPAN-FIRE_1-292x210.jpg 292w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T042718Z_2_LYNXNPEF6I08V_RTROPTP_0_JAPAN-FIRE_1-768x553.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T042718Z_2_LYNXNPEF6I08V_RTROPTP_0_JAPAN-FIRE_1-607x437.jpg 607w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T042718Z_2_LYNXNPEF6I08V_RTROPTP_0_JAPAN-FIRE_1.jpg 800w"" sizes=""(max-width: 292px) 100vw, 292px"" />By Tim Kelly KYOTO, Japan (Reuters) - Animation fans gathered at the site of Japan's worst mass killing in 18 years on Friday, laying flowers and offering prayers for the 33 people killed in an arson",1,OANN
"Suspected arsonist planned Japan’s worst mass killing in 18 years: media<img width=""315"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T005507Z_1_LYNXNPEF6I01P_RTROPTP_0_JAPAN-FIRE_1-315x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T005507Z_1_LYNXNPEF6I01P_RTROPTP_0_JAPAN-FIRE_1-315x210.jpg 315w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T005507Z_1_LYNXNPEF6I01P_RTROPTP_0_JAPAN-FIRE_1-768x512.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T005507Z_1_LYNXNPEF6I01P_RTROPTP_0_JAPAN-FIRE_1-655x437.jpg 655w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T005507Z_1_LYNXNPEF6I01P_RTROPTP_0_JAPAN-FIRE_1.jpg 799w"" sizes=""(max-width: 315px) 100vw, 315px"" />By Tim Kelly KYOTO, Japan (Reuters) - A man suspected of torching an animation studio in western Japan shouted that he had been plagiarized and appeared to have planned the attack, media said on",1,OANN
"Blast near Afghan university kills six, injures 27<img width=""296"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T043536Z_1_LYNXNPEF6I095_RTROPTP_0_AFGHANISTAN-BLAST_1-296x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T043536Z_1_LYNXNPEF6I095_RTROPTP_0_AFGHANISTAN-BLAST_1-296x210.jpg 296w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T043536Z_1_LYNXNPEF6I095_RTROPTP_0_AFGHANISTAN-BLAST_1-768x545.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T043536Z_1_LYNXNPEF6I095_RTROPTP_0_AFGHANISTAN-BLAST_1-615x437.jpg 615w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T043536Z_1_LYNXNPEF6I095_RTROPTP_0_AFGHANISTAN-BLAST_1.jpg 800w"" sizes=""(max-width: 296px) 100vw, 296px"" />KABUL (Reuters) - An explosion on Friday near a gate to the campus of Kabul University in the Afghan capital killed six people and injured at least 27 as students waited to take an examination,",1,OANN
"From beer to pens, South Koreans boycott Japanese brands as diplomatic row intensifies<img width=""299"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T033439Z_1_LYNXNPEF6I078_RTROPTP_0_SOUTHKOREA-JAPAN-LABORERS-BOYCOTT_1-299x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T033439Z_1_LYNXNPEF6I078_RTROPTP_0_SOUTHKOREA-JAPAN-LABORERS-BOYCOTT_1-299x210.jpg 299w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T033439Z_1_LYNXNPEF6I078_RTROPTP_0_SOUTHKOREA-JAPAN-LABORERS-BOYCOTT_1-768x539.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T033439Z_1_LYNXNPEF6I078_RTROPTP_0_SOUTHKOREA-JAPAN-LABORERS-BOYCOTT_1-623x437.jpg 623w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T033439Z_1_LYNXNPEF6I078_RTROPTP_0_SOUTHKOREA-JAPAN-LABORERS-BOYCOTT_1.jpg 800w"" sizes=""(max-width: 299px) 100vw, 299px"" />By Joori Roh SEOUL (Reuters) - As soon as supermarket manager Cho Min-hyuk got to work the day after Tokyo imposed curbs on exports to South Korea, he pulled all Japanese products off the shelves. ",1,OANN
"Oil jumps after U.S. Navy downs Iranian drone<img width=""366"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T034631Z_2_LYNXNPEF6I04V_RTROPTP_0_GLOBAL-PETROLEUM_1-366x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T034631Z_2_LYNXNPEF6I04V_RTROPTP_0_GLOBAL-PETROLEUM_1-366x210.jpg 366w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T034631Z_2_LYNXNPEF6I04V_RTROPTP_0_GLOBAL-PETROLEUM_1-768x440.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T034631Z_2_LYNXNPEF6I04V_RTROPTP_0_GLOBAL-PETROLEUM_1-762x437.jpg 762w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-19T034631Z_2_LYNXNPEF6I04V_RTROPTP_0_GLOBAL-PETROLEUM_1.jpg 799w"" sizes=""(max-width: 366px) 100vw, 366px"" />By Aaron Sheldrick and Koustav Samanta TOKYO/SINGAPORE (Reuters) - Oil prices rose nearly 2% on Friday as tensions brewed again in the Middle East after a U.S. ",1,OANN
"U.S. says Navy ship ‘destroyed’ Iranian drone in Gulf<img width=""321"" height=""210"" src=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-18T191744Z_1_LYNXNPEF6H1VV_RTROPTP_0_IRAN-NUCLEAR-IAEA_1-321x210.jpg"" class=""attachment-thumbnail size-thumbnail wp-post-image"" alt="""" style=""float:left; margin:0 15px 15px 0;"" srcset=""https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-18T191744Z_1_LYNXNPEF6H1VV_RTROPTP_0_IRAN-NUCLEAR-IAEA_1-321x210.jpg 321w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-18T191744Z_1_LYNXNPEF6H1VV_RTROPTP_0_IRAN-NUCLEAR-IAEA_1-768x503.jpg 768w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-18T191744Z_1_LYNXNPEF6H1VV_RTROPTP_0_IRAN-NUCLEAR-IAEA_1-667x437.jpg 667w, https://d2pggiv3o55wnc.cloudfront.net/oann/wp-content/uploads/2019/07/2019-07-18T191744Z_1_LYNXNPEF6H1VV_RTROPTP_0_IRAN-NUCLEAR-IAEA_1.jpg 800w"" sizes=""(max-width: 321px) 100vw, 321px"" />By Steve Holland and Idrees Ali WASHINGTON (Reuters) - The United States said on Thursday that a U.S. ",1,OANN
